step,controller,intersection,queue
37,fixed_time,n3_1,11.222222222222221
37,fixed_time,n3_2,8.666666666666666
37,fixed_time,n3_3,0.0
38,fixed_time,n0_0,0.0
38,fixed_time,n0_1,8.0
38,fixed_time,n0_2,8.0
38,fixed_time,n0_3,0.0
38,fixed_time,n1_0,80.0
38,fixed_time,n1_1,210.80199495334384
38,fixed_time,n1_2,128.65806364205997
38,fixed_time,n1_3,67.2637639926163
38,fixed_time,n2_0,80.0
38,fixed_time,n2_1,193.2794120137513
38,fixed_time,n2_2,114.983115717455
38,fixed_time,n2_3,57.333333333333336
38,fixed_time,n3_0,0.0
38,fixed_time,n3_1,11.612745347084623
38,fixed_time,n3_2,8.666666666666666
38,fixed_time,n3_3,0.0
39,fixed_time,n0_0,0.0
39,fixed_time,n0_1,8.0
39,fixed_time,n0_2,6.0
39,fixed_time,n0_3,0.0
39,fixed_time,n1_0,80.0
39,fixed_time,n1_1,224.96172670155298
39,fixed_time,n1_2,119.2637639926163
39,fixed_time,n1_3,74.81931954817186
39,fixed_time,n2_0,80.0
39,fixed_time,n2_1,195.09313733791709
39,fixed_time,n2_2,122.42193206771778
39,fixed_time,n2_3,62.66666666666667
39,fixed_time,n3_0,0.0
39,fixed_time,n3_1,12.093137337917096
39,fixed_time,n3_2,7.0
39,fixed_time,n3_3,0.0
40,fixed_time,n0_0,0.0
40,fixed_time,n0_1,24.0
40,fixed_time,n0_2,22.0
40,fixed_time,n0_3,0.0
40,fixed_time,n1_0,64.0
40,fixed_time,n1_1,232.96172670155298
40,fixed_time,n1_2,113.08308354078815
40,fixed_time,n1_3,56.0
40,fixed_time,n2_0,64.0
40,fixed_time,n2_1,169.9595138500793
40,fixed_time,n2_2,100.55555555555554
40,fixed_time,n2_3,54.66666666666667
40,fixed_time,n3_0,0.0
40,fixed_time,n3_1,20.093137337917096
40,fixed_time,n3_2,15.0
40,fixed_time,n3_3,0.0
41,fixed_time,n0_0,0.0
41,fixed_time,n0_1,40.0
41,fixed_time,n0_2,38.0
41,fixed_time,n0_3,0.0
41,fixed_time,n1_0,48.0
41,fixed_time,n1_1,234.56742705210928
41,fixed_time,n1_2,112.08308354078815
